Date,Adj Close,Close,High,Low,Open,Volume,Date
1994-09-13,27.22854232788086,47.0,47.125,46.859375,46.953125,389200,1994-09-13
1994-09-14,27.255701065063477,47.046875,47.109375,46.84375,46.84375,423500,1994-09-14
1994-09-15,27.599668502807617,47.640625,47.640625,47.171875,47.171875,779800,1994-09-15
1994-09-16,27.403240203857422,47.015625,47.140625,46.84375,47.0,571300,1994-09-16
1994-09-19,27.430561065673828,47.0625,47.328125,47.015625,47.125,167300,1994-09-19
1994-09-20,26.911474227905273,46.171875,46.859375,46.171875,46.8125,355600,1994-09-20
1994-09-21,26.911474227905273,46.171875,46.3125,45.734375,46.3125,397500,1994-09-21
1994-09-22,26.84771156311035,46.0625,46.28125,46.015625,46.28125,266400,1994-09-22
1994-09-23,26.75663948059082,45.90625,46.171875,45.828125,46.078125,176600,1994-09-23
1994-09-26,26.893245697021484,46.140625,46.171875,45.984375,46.078125,223000,1994-09-26
1994-09-27,26.875028610229492,46.109375,46.265625,46.0,46.140625,479500,1994-09-27
1994-09-28,27.084518432617188,46.46875,46.53125,46.328125,46.359375,324000,1994-09-28
1994-09-29,26.94788360595703,46.234375,46.46875,46.09375,46.46875,195900,1994-09-29
1994-09-30,26.911474227905273,46.171875,46.4375,46.171875,46.21875,5200,1994-09-30
1994-10-03,26.84771156311035,46.0625,46.25,45.984375,46.203125,72600,1994-10-03
1994-10-04,26.446998596191406,45.375,46.296875,45.34375,46.296875,84200,1994-10-04
1994-10-05,26.456090927124023,45.390625,45.390625,45.0,45.296875,461900,1994-10-05
1994-10-06,26.3741512298584,45.25,45.453125,45.171875,45.421875,345200,1994-10-06
1994-10-07,26.492536544799805,45.453125,45.578125,45.203125,45.25,188700,1994-10-07
1994-10-10,26.774860382080078,45.9375,46.015625,45.640625,45.65625,213600,1994-10-10
1994-10-11,27.17556381225586,46.625,46.75,46.140625,46.140625,461400,1994-10-11
1994-10-12,27.211984634399414,46.6875,46.75,46.578125,46.6875,162400,1994-10-12
1994-10-13,27.303070068359375,46.84375,47.328125,46.796875,47.21875,1564500,1994-10-13
1994-10-14,27.421472549438477,47.046875,47.0625,46.6875,47.0,72800,1994-10-14
1994-10-17,27.3668212890625,46.953125,47.0625,46.90625,47.0,282300,1994-10-17
1994-10-18,27.303070068359375,46.84375,46.90625,46.6875,46.90625,132100,1994-10-18
1994-10-19,27.430561065673828,47.0625,47.234375,46.65625,46.671875,136700,1994-10-19
1994-10-20,27.248424530029297,46.75,47.0625,46.609375,47.0625,290300,1994-10-20
1994-10-21,27.139144897460938,46.5625,46.6875,46.359375,46.625,87800,1994-10-21
1994-10-24,26.911474227905273,46.171875,46.765625,46.15625,46.578125,149600,1994-10-24
1994-10-25,26.93878746032715,46.21875,46.3125,46.0,46.015625,91800,1994-10-25
1994-10-26,27.038963317871094,46.390625,46.4375,46.171875,46.390625,201000,1994-10-26
1994-10-27,27.20288848876953,46.671875,46.671875,46.453125,46.5625,210300,1994-10-27
